date,description,amount,category.name,category.parentName
2022-11-12,WAL-MART #1292,-8.23,Shopping,Root
2022-11-12,Amazon,-7.71,Venmo Payment,Misc Expenses
2022-11-12,SQ *EASTERN DIVIDE BRE,-13.0,Restaurants,Food & Dining
2022-11-12,Amazon,-50.69,Venmo Payment,Misc Expenses
2022-11-11,groceries :),-75.35,Groceries,Food & Dining
2022-11-11,Shirt,-10.0,Clothing,Shopping
2022-11-10,CULTURE GRILL AND CANTINA,-49.08,Restaurants,Food & Dining
2022-11-10,SPEEDWAY 09224 NELSONVILL,-46.76,Gas & Fuel,Auto & Transport
2022-11-10,SPEEDWAY 09224 NELSONVILL,-2.69,Gas & Fuel,Auto & Transport
2022-11-10,APPLE.COM/BILL,-0.99,Electronics & Software,Shopping
2022-11-09,HERNANDEZ AUTO REPAIR INC,-95.0,Service & Parts,Auto & Transport
2022-11-09,CULVERS OF VANDALIA,-17.47,Fast Food,Food & Dining
2022-11-09,STARBUCKS STORE 62850,-7.14,Coffee Shops,Food & Dining
2022-11-09,SPEEDWAY 07675 I-65 AND S,-77.24,Gas & Fuel,Auto & Transport
2022-11-08,NINA BEAUTY HOUSE,-45.0,Hair,Personal Care
2022-11-08,JAMES AND SONS - CHICAGO,-1466.56,Hotel,Travel
2022-11-08,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-11-07,MARIANOS #522,-40.57,Groceries,Food & Dining
2022-11-06,APPLE.COM/BILL,-0.99,Electronics & Software,Shopping
2022-11-06,MARIANOS 522,-9.77,Groceries,Food & Dining
2022-11-05,MARIANOS #522,-67.65,Groceries,Food & Dining
2022-11-05,Transfer To CORTRUST BANK NATIONAL ASSOCIATION,-389.5,Transfer,Root
2022-11-04,VA Airbnb,248.0,Income,Root
2022-11-03,MARIANOS 522,-18.26,Groceries,Food & Dining
2022-11-02,SJH CHICAGO OTPT PHARMACY,-14.59,Pharmacy,Health & Fitness
2022-10-30,MARIANOS #522,-39.25,Groceries,Food & Dining
2022-10-30,Foremost Liquors,-49.47,Alcohol & Bars,Food & Dining
2022-10-29,BAYMONT BY WYNDHAM,60.0,Hotel,Travel
2022-10-29,ALDI 40003,-146.43,Groceries,Food & Dining
2022-10-28,Ireland pt 2,-365.58,Vacation,Travel
2022-10-28,we going to irelanddddd (pt 1),-100.0,Transfer,Root
2022-10-28,TARGET        00023739,-39.63,Shopping,Root
2022-10-28,ACH Deposit Internet transfer from account ending in 4722,125.58,Transfer,Root
2022-10-27,ACH Deposit Internet transfer from account ending in 0320,74.47,Transfer,Root
2022-10-26,ITR CONCESSION COMPANY LL,-3.5,Fast Food,Food & Dining
2022-10-26,SUNOCO XXXXXXXXXX,-47.75,Gas & Fuel,Auto & Transport
2022-10-26,Hot tub time machine 1&2,9.0,Income,Root
